day hour	temp	
day	hour	temp
2022-01-01	1	51.98
2022-01-01	2	52.34
2022-01-01	3	51.8
2022-01-01	4	52.34
2022-01-01	5	52.88
2022-01-01	6	53.42
2022-01-01	7	54.14
2022-01-01	8	54.5
2022-01-01	9	54.5
2022-01-01	10	55.4
2022-01-01	11	55.94
2022-01-01	12	55.94
2022-01-01	13	55.94
2022-01-01	14	55.76
2022-01-01	15	56.66
2022-01-01	16	57.02
2022-01-01	17	57.2
2022-01-01	18	56.12
2022-01-01	19	55.76
2022-01-01	20	55.58
2022-01-01	21	55.22
2022-01-01	22	54.32
2022-01-01	23	55.22
2022-01-01	24	64.58
2022-01-02	1	63.86
2022-01-02	2	61.88
2022-01-02	3	60.8
2022-01-02	4	59.54
2022-01-02	5	58.28
2022-01-02	6	56.84
2022-01-02	7	55.94
2022-01-02	8	55.04
2022-01-02	9	55.58
2022-01-02	10	56.84
2022-01-02	11	58.1
2022-01-02	12	59
2022-01-02	13	61.34
2022-01-02	14	63.86
2022-01-02	15	64.58
2022-01-02	16	63.86
2022-01-02	17	62.24
2022-01-02	18	59.54
2022-01-02	19	56.3
2022-01-02	20	52.88
2022-01-02	21	50.72
2022-01-02	22	49.46
2022-01-02	23	47.84
2022-01-02	24	45.86
2022-01-03	1	42.44
2022-01-03	2	40.28
2022-01-03	3	38.66
2022-01-03	4	37.22
2022-01-03	5	35.6
2022-01-03	6	34.52
2022-01-03	7	33.8
2022-01-03	8	32.72
2022-01-03	9	32.18
2022-01-03	10	31.46
2022-01-03	11	31.46
2022-01-03	12	31.1
2022-01-03	13	31.46
2022-01-03	14	31.28
2022-01-03	15	31.28
2022-01-03	16	32
2022-01-03	17	32.36
2022-01-03	18	31.82
2022-01-03	19	30.92
2022-01-03	20	30.02
2022-01-03	21	29.66
2022-01-03	22	28.94
2022-01-03	23	27.86
2022-01-03	24	27.14
2022-01-04	1	26.78
2022-01-04	2	26.6
2022-01-04	3	26.42
2022-01-04	4	25.52
2022-01-04	5	24.44
2022-01-04	6	23.72
2022-01-04	7	23.72
2022-01-04	8	24.26
2022-01-04	9	24.62
2022-01-04	10	25.7
2022-01-04	11	27.68
2022-01-04	12	29.48
2022-01-04	13	31.46
2022-01-04	14	32
2022-01-04	15	32.54
2022-01-04	16	32.9
2022-01-04	17	32.72
2022-01-04	18	33.26
2022-01-04	19	33.62
2022-01-04	20	33.44
2022-01-04	21	33.98
2022-01-04	22	34.52
2022-01-04	23	34.7
2022-01-04	24	34.16
2022-01-05	1	33.98
2022-01-05	2	34.16
2022-01-05	3	33.98
2022-01-05	4	33.08
2022-01-05	5	33.8
2022-01-05	6	34.7
2022-01-05	7	35.6
2022-01-05	8	36.32
2022-01-05	9	35.96
2022-01-05	10	36.86
2022-01-05	11	38.3
2022-01-05	12	39.74
2022-01-05	13	41.18
2022-01-05	14	42.26
2022-01-05	15	42.98
2022-01-05	16	43.7
2022-01-05	17	43.52
2022-01-05	18	42.8
2022-01-05	19	41.72
2022-01-05	20	41.36
2022-01-05	21	40.46
2022-01-05	22	40.1
2022-01-05	23	39.92
2022-01-05	24	39.92
2022-01-06	1	39.74
2022-01-06	2	40.28
2022-01-06	3	39.02
2022-01-06	4	37.58
2022-01-06	5	37.76
2022-01-06	6	38.3
2022-01-06	7	37.58
2022-01-06	8	35.96
2022-01-06	9	34.7
2022-01-06	10	35.06
2022-01-06	11	35.78
2022-01-06	12	37.76
2022-01-06	13	37.76
2022-01-06	14	38.66
2022-01-06	15	38.84
2022-01-06	16	39.02
2022-01-06	17	38.48
2022-01-06	18	37.76
2022-01-06	19	36.32
2022-01-06	20	36.86
2022-01-06	21	38.3
2022-01-06	22	37.76
2022-01-06	23	36.86
2022-01-06	24	36.14
2022-01-07	1	35.24
2022-01-07	2	34.52
2022-01-07	3	31.82
2022-01-07	4	31.1
2022-01-07	5	30.74
2022-01-07	6	31.46
2022-01-07	7	31.64
2022-01-07	8	30.38
2022-01-07	9	28.58
2022-01-07	10	28.4
2022-01-07	11	28.58
2022-01-07	12	28.94
2022-01-07	13	30.38
2022-01-07	14	31.1
2022-01-07	15	31.64
2022-01-07	16	31.1
2022-01-07	17	30.56
2022-01-07	18	28.76
2022-01-07	19	27.5
2022-01-07	20	26.42
2022-01-07	21	25.52
2022-01-07	22	24.98
2022-01-07	23	24.62
2022-01-07	24	23.36
