time	temp
2022-01-29 00:00:00	-1
2022-01-29 01:00:00	-1
2022-01-29 02:00:00	-1
2022-01-29 03:00:00	-2
2022-01-29 04:00:00	-3
2022-01-29 05:00:00	-4
2022-01-29 06:00:00	-4
2022-01-29 07:00:00	-5
2022-01-29 08:00:00	-5
2022-01-29 09:00:00	-5
2022-01-29 10:00:00	-4
2022-01-29 11:00:00	-4
2022-01-29 12:00:00	-3
2022-01-29 13:00:00	-3
2022-01-29 14:00:00	-3
2022-01-29 15:00:00	-3
2022-01-29 16:00:00	-3
2022-01-29 17:00:00	-4
2022-01-29 18:00:00	-4
2022-01-29 19:00:00	-5
2022-01-29 20:00:00	-4
2022-01-29 21:00:00	-4
2022-01-29 22:00:00	-5
2022-01-29 23:00:00	-5
2022-01-30 00:00:00	-6
2022-01-30 01:00:00	-6
2022-01-30 02:00:00	-7
2022-01-30 03:00:00	-7
2022-01-30 04:00:00	-8
2022-01-30 05:00:00	-8
2022-01-30 06:00:00	-9
2022-01-30 07:00:00	-8
2022-01-30 08:00:00	-7
2022-01-30 09:00:00	-5
2022-01-30 10:00:00	-3
2022-01-30 11:00:00	-3
2022-01-30 12:00:00	-2
2022-01-30 13:00:00	-2
2022-01-30 14:00:00	-1
2022-01-30 15:00:00	-2
2022-01-30 16:00:00	-2
2022-01-30 17:00:00	-2
2022-01-30 18:00:00	-2
2022-01-30 19:00:00	-1
2022-01-30 20:00:00	-2
2022-01-30 21:00:00	-2
2022-01-30 22:00:00	-2
2022-01-30 23:00:00	-2
2022-01-31 00:00:00	-2
2022-01-31 01:00:00	-2
2022-01-31 02:00:00	-3
2022-01-31 03:00:00	-4
2022-01-31 04:00:00	-4
2022-01-31 05:00:00	-4.1
2022-01-31 06:00:00	-3
2022-01-31 07:00:00	-3
2022-01-31 08:00:00	-2
2022-01-31 09:00:00	-2
2022-01-31 10:00:00	-1
2022-01-31 11:00:00	-1
2022-01-31 12:00:00	-1
2022-01-31 13:00:00	1
2022-01-31 14:00:00	1
2022-01-31 15:00:00	1
2022-01-31 16:00:00	1
2022-01-31 17:00:00	0
2022-01-31 18:00:00	0
2022-01-31 19:00:00	-1
2022-01-31 20:00:00	-2
2022-01-31 21:00:00	-1
2022-01-31 22:00:00	-1
2022-01-31 23:00:00	-2
